,word,secundaria,author,proportion
162,oso,NA,primaria,0.00234192
163,padre,0.002123142,primaria,0.004683841
164,pajaro,0.002123142,primaria,NA
165,pan8n,0.002123142,primaria,NA
166,pap?Å,0.002123142,primaria,NA
167,papa,0.023354565,primaria,0.025761124
168,papel ,NA,primaria,0.00234192
169,parque,0.002123142,primaria,NA
170,patio,0.002123142,primaria,NA
171,peligro,0.002123142,primaria,NA
172,pelo,NA,primaria,0.00234192
173,pelota,0.008492569,primaria,0.009367682
174,pelota de fuego,NA,primaria,0.00234192
175,pelotas,0.004246285,primaria,0.011709602
176,perro,0.021231423,primaria,0.011709602
177,planeta jupiter,0.002123142,primaria,NA
178,plata,NA,primaria,0.00234192
179,poeta,0.002123142,primaria,NA
180,porque,NA,primaria,0.00234192
181,primo,NA,primaria,0.00234192
182,profesor,0.002123142,primaria,NA
183,que,0.002123142,primaria,NA
184,que cosa? ,NA,primaria,0.00234192
185,que esta en llamas,0.002123142,primaria,NA
186,quemador,NA,primaria,0.00234192
187,qwe,0.002123142,primaria,NA
188,rafles,NA,primaria,0.00234192
189,rebota,NA,primaria,0.00234192
190,rojo,0.002123142,primaria,0.00234192
191,rueda,NA,primaria,0.00234192
192,sarten,0.002123142,primaria,NA
193,senor,0.027600849,primaria,0.023419204
194,ser humano,0.002123142,primaria,NA
195,si,NA,primaria,0.004683841
196,siempre,0.002123142,primaria,NA
197,silencio,0.002123142,primaria,NA
198,sin respuesta,NA,primaria,0.00234192
199,sofa,NA,primaria,0.00234192
200,sol,0.409766454,primaria,0.351288056
201,son tantas,NA,primaria,0.00234192
202,telefono,0.004246285,primaria,NA
203,tempano de la fria soledad,0.002123142,primaria,NA
204,tiempo,0.006369427,primaria,0.00234192
205,tiene,NA,primaria,0.00234192
206,tiene esa,NA,primaria,0.00234192
207,tiene unas,NA,primaria,0.00234192
208,tio,0.008492569,primaria,0.007025761
209,una bruja,0.002123142,primaria,NA
210,una fruga,NA,primaria,0.00234192
211,un balon,0.002123142,primaria,NA
212,un fenix especial,0.002123142,primaria,NA
213,universo,0.002123142,primaria,NA
214,vapor,NA,primaria,0.00234192
215,vecino,0.006369427,primaria,0.023419204
216,vecino de pelo rojo,NA,primaria,0.00234192
217,vesino,0.002123142,primaria,NA
218,vestido,NA,primaria,0.00234192
219,vida,0.004246285,primaria,NA
220,viento,0.002123142,primaria,0.00234192
221,volcan,NA,primaria,0.016393443
222,volley,0.002123142,primaria,NA
223,yeimi,NA,primaria,0.00234192
224,yo,0.002123142,primaria,NA
225,NA,NA,primaria,0.00234192
