"","word","secundaria","author","proportion"
"233","mi vecino",NA,"primaria",0.00234192037470726
"234","mi vida",0.00212314225053079,"primaria",0.00234192037470726
"235","moneda",0.0339702760084926,"primaria",0.0234192037470726
"236","mucho dinero",NA,"primaria",0.00234192037470726
"237","mujer",NA,"primaria",0.00234192037470726
"238","muy",NA,"primaria",0.00234192037470726
"239","muy fuerte",0.00212314225053079,"primaria",NA
"240","nana",0.00212314225053079,"primaria",NA
"241","naranja",0.00212314225053079,"primaria",0.00234192037470726
"242","nieve",NA,"primaria",0.00234192037470726
"243","ninja gris",0.00212314225053079,"primaria",NA
"244","nino",0.00424628450106157,"primaria",0.00468384074941452
"245","no",0.00424628450106157,"primaria",0.00234192037470726
"246","no ",NA,"primaria",0.00234192037470726
"247","no contesto",NA,"primaria",0.0234192037470726
"248","no dice mentiras",0.00212314225053079,"primaria",NA
"249","""no entendio""",NA,"primaria",0.00234192037470726
"250","no entiendo",NA,"primaria",0.00234192037470726
"251","no entiendo nada",NA,"primaria",0.00234192037470726
"252","no respondio",NA,"primaria",0.00936768149882904
"253","no se",0.00849256900212314,"primaria",0.0140515222482436
"254","ojos",NA,"primaria",0.00234192037470726
"255","oro",NA,"primaria",0.00936768149882904
"256","pablito",0.00212314225053079,"primaria",NA
"257","pablo",0.00212314225053079,"primaria",NA
"258","padre",0.00212314225053079,"primaria",NA
"259","panchito",0.00212314225053079,"primaria",NA
"260","pap?Å",0.00212314225053079,"primaria",NA
"261","papa",0.0233545647558386,"primaria",0.0281030444964871
"262","pasto",NA,"primaria",0.00234192037470726
"263","pelota",0.00636942675159236,"primaria",0.0117096018735363
"264","pelota plata",NA,"primaria",0.00702576112412178
"265","pelota roja",NA,"primaria",0.00234192037470726
"266","pelotas",NA,"primaria",0.00468384074941452
"267","pepita",0.00212314225053079,"primaria",NA
"268","perla",0.00212314225053079,"primaria",NA
"269","perro",NA,"primaria",0.00468384074941452
"270","pesada",NA,"primaria",0.00468384074941452
"271","pinpon",NA,"primaria",0.00234192037470726
"272","planta",NA,"primaria",0.00468384074941452
"273","plata",NA,"primaria",0.00702576112412178
"274","plato",0.00424628450106157,"primaria",NA
"275","playta",0.00212314225053079,"primaria",NA
"276","poiitghdft",0.00212314225053079,"primaria",NA
"277","porque",NA,"primaria",0.00936768149882904
"278","primo",NA,"primaria",0.00234192037470726
"279","que",0.00424628450106157,"primaria",0.0163934426229508
"280","que bonito",NA,"primaria",0.00234192037470726
"281","que es",NA,"primaria",0.00936768149882904
"282","qwe",0.00212314225053079,"primaria",NA
"283","rebota por que",0.00212314225053079,"primaria",NA
"284","rico",NA,"primaria",0.00234192037470726
"285","robot",NA,"primaria",0.00234192037470726
"286","sarten",NA,"primaria",0.00234192037470726
"287","senor",0.00212314225053079,"primaria",0.00234192037470726
"288","si",0.00212314225053079,"primaria",0.00234192037470726
"289","sin embargo",0.00212314225053079,"primaria",NA
"290","sin embargo es una pelota",0.00212314225053079,"primaria",NA
"291","sol",NA,"primaria",0.00234192037470726
"292","soledad",0.00212314225053079,"primaria",NA
"293","solta",NA,"primaria",0.00234192037470726
"294","su pulsera",NA,"primaria",0.00234192037470726
"295","tambien",NA,"primaria",0.00702576112412178
"296","tia",NA,"primaria",0.00234192037470726
"297","tiene un significado importante",0.00212314225053079,"primaria",NA
"298","tio",NA,"primaria",0.00468384074941452
"299","tomate",NA,"primaria",0.00234192037470726
"300","trofeo",0.00212314225053079,"primaria",0.00936768149882904
"301","tumbador",0.00424628450106157,"primaria",NA
"302","tus hojos",0.00212314225053079,"primaria",NA
"303","tu sonrisa",NA,"primaria",0.00234192037470726
"304","una amiga",NA,"primaria",0.00234192037470726
"305","una bala",0.00212314225053079,"primaria",NA
"306","una bola de crital",0.00212314225053079,"primaria",NA
"307","una canica",NA,"primaria",0.00234192037470726
"308","una escultura",0.00212314225053079,"primaria",NA
"309","una medalla",0.00212314225053079,"primaria",NA
"310","una medallla",0.00212314225053079,"primaria",NA
"311","un amigo",0.00212314225053079,"primaria",NA
"312","una moneda",0.00212314225053079,"primaria",NA
"313","una pelota de plata",0.00212314225053079,"primaria",NA
"314","una perla",0.00424628450106157,"primaria",NA
"315","un balin",0.00212314225053079,"primaria",NA
"316","un frisvi",0.00212314225053079,"primaria",NA
"317","un goya",0.00212314225053079,"primaria",NA
"318","un huevo",0.00212314225053079,"primaria",NA
"319","un jugete",0.00212314225053079,"primaria",NA
"320","un trofeo de futbol",0.00212314225053079,"primaria",NA
"321","veredo",NA,"primaria",0.00234192037470726
"322","vida",0.00424628450106157,"primaria",NA
"323","voliche",NA,"primaria",0.00234192037470726
"324","y",NA,"primaria",0.00936768149882904
"325","y de",0.00212314225053079,"primaria",NA
"326","y el otro",NA,"primaria",0.00234192037470726
"327","y (el tiempo)",NA,"primaria",0.00234192037470726
"328","y la fortuna",0.00212314225053079,"primaria",NA
"329","y la luna",NA,"primaria",0.00234192037470726
"330","yo",0.00424628450106157,"primaria",NA
"331","yo mero",0.00212314225053079,"primaria",NA
"332",NA,NA,"primaria",0.00234192037470726
