"line","word"
171,"no, porque es una cosa material"
172,"no, porque no tienen suficientes palabras para explicar el poema"
173,"no, porque las pelotas solo son para jugar, no para cantar"
174,"no, porque las pelotas no cantan, es como si una pelota cantara despacito"
175,"no, porque yo no he visto una pelota que canta"
176,"si, porque se refiere a su mamá"
177,"no, porque las pelotas no cantan"
178,"no, porque las pelotas no hablan"
179,"no,porque no es tan comprensible"
180,"no,porque no puede haber un objeto que cante, eso sería imposible y absurdo "
181,"si, porque es una forma de describir a alguien"
182,"no, porque no hay pelotas que canten"
183,"no, porque las pelotas no cantan solo con la imaginación"
184,"no, porque las pelotas no hablan*"
185,"si, porque canta canciones"
186,"no, porque no creo que vaya a cantar"
187,"no, nadie entendería"
188,"si, porque se refiere a que su mamá canta"
189,"si, porque tiene muchas curvas"
190,"si,porque está hablando de su familia"
191,"no, es algo irónico"
192,"no, porque es una pelota normal"
193,"no, porque las pelotas no cantan"
194,"no, porque una pelota no puede cantar"
195,"si, porque es su forma de expresarse hacia las personas"
196,"no, porque las pelotas en si no pueden hablar"
197,"no, porque las pelotas no cantan* "
198,"no, porque las pelotas no tienen vida"
199,"no porque una pelota es una objeto inmovil"
200,"en la diversión en juego puede (hacer mas cosas??) en la pelota"
201,"no, porque las pelotas no hablan"
202,"no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales"
203,"no, porque las pelotas no cantan"
204,"no, porque las pelotas no cantan"
205,"no, porque una pelota se usa para jugar y porque es de plastico"
206,"no,porque las pelotas no hablan y si no hablan no cantan"
207,"si, porque si con pelotas se refieren a personas entonces sí, porque las mamás siempre cantan "
208,"si, porque mi mamá canta"
209,"no, porque las pelotas no cantan"
210,"no, porque las cosas no hablan"
211,"no, porque las pelotas no cantan"
212,"si, porque la tecnología hizo a sphero una pelota robot que habla y canta"
213,"no, porque dice cosas extrañas"
214,"no, porque la puedes botar, pero no va a cantar"
215,"no, porque las pelotas no hablan*"
216,"imaginénse una pelota cantar, no es normal"
217,"si, porque es una cancion que se va formando"
218,NA
219,"no, porque casi no se le entiende que quiere decir"
220,"no, porque una pelota no canta"
221,"si, porque rima poquito y habla sobre la familia"
222,"no, no rima y no tiene sentido de las palabras"
223,"si, porque se entiende que alguien de tu familia canta"
224,"no, no tiene sentido"
225,"si,todos tienen su chiste"
226,"no, porque no se escucha bien"
227,"si, porque luego las pelotas van en sentido contrario."
228,"si,su mama canta"
229,"si,porque su palabra significa algo"
230,"si,poema"
231,"si, porque luego las pelotas van en sentido contrario."
232,"si, porque a su mama le gusta cantar"
233,"si, porque mi mama canta"
234,"si, porque se explica lo que dice"
235,"si, porque rima"
236,"no, porque una pelota no canta*"
237,"no, es poema y no es cancion"
238,"si, porque describe una cosa o una persona"
239,"si, porque se oye bonito"
