,word,ninos,author,proportion
164,tiene,0.004651163,ninas,NA
165,tiene esa,0.004651163,ninas,NA
166,tio,0.009302326,ninas,NA
167,tu sonrisa,NA,ninas,0.004651163
168,una canica,NA,ninas,0.004651163
169,vecino,0.013953488,ninas,NA
170,vecino de pelo rojo,0.004651163,ninas,NA
171,veredo,NA,ninas,0.004651163
172,viento,0.004651163,ninas,NA
173,volcan,0.013953488,ninas,NA
174,voliche,NA,ninas,0.004651163
175,y,NA,ninas,0.013953488
176,y el otro,NA,ninas,0.004651163
