comparacion,puntaje_similitud
3_0,0.59261876
3_0,0.50090235
3_0,0
3_0,0
3_0,0
3_0,0.41873693
3_0,0.3816884
3_0,0
3_0,0
3_0,0
3_0,0.5294889
3_0,0.44282213
3_0,0
3_0,0
3_0,0
3_0,0.55600196
3_0,0.46776128
3_0,0
3_0,0
3_0,0
3_0,0.47077528
3_0,0.33487263
3_0,0
3_0,0
3_0,0
3_0,0.53867954
3_0,0.4654996
3_0,0
3_0,0
3_0,0
3_0,0.439369195
3_0,0.4220417
3_0,0
3_0,0
3_0,0
3_0,0.545423277
3_0,0.48121184
3_0,0
3_0,0
3_0,0
3_0,0.47613612
3_0,0.42683113
3_0,0
3_0,0
3_0,0
3_0,0.468218949
3_0,0.428819778
3_0,0
3_0,0
3_0,0
3_0,0.522268773
3_0,0.393702505
3_0,0
3_0,0
3_0,0
3_0,0.5547912
3_0,0.47255263
3_0,0
3_0,0
3_0,0
3_0,0.5673457
3_0,0.43208367
3_0,0
3_0,0
3_0,0
3_0,0.37105834
3_0,0.28847474
3_0,0
3_0,0
3_0,0
3_0,0.3776304
3_0,0.35723925
3_0,0
3_0,0
