2_2_x,2_1_x,2_0_x,1_1_x,1_0_x,0_0_x
0.697572615,0.011502773,0,0.180187007,0,1
0.655003326,0.5699913,0.5514689,-0.017044638,0.006126846,0
0.5808118,0.6337586,0.4946684,0.040015165,-0.05045976,0
0.670240997,0.317279768,0,0.025019929,0,0
0.635932472,0.637873482,0,-0.03327303,0,0
0.672938873,0.7602674,0,0.011944532,0,0
0.570652506,0.638607597,0.5500041,-0.020478068,0.47024837,0.684287056
0.616638058,0.63775635,0.4545889,0.022459213,0.39048588,0.40777865
0.547086982,0.7602674,0,0.011944532,0,0
0.6234878,0.574532,0,0.022219494,0,0
0.608092352,0.658779769,0,0.026179561,0,0
0.6922772,0.47303194,0.461635252,-0.027161941,0.5611692,0.4077787
0.602545061,0.422261305,0.411898154,-0.015743358,0.44086468,0.63004501
0.587054725,0,0,0,0,0
0.54188055,0.2364337,0,-0.10541314,0,0
0.605246956,0.25511396,0,-0.092823386,0,0
0.64465547,0.751446,0.5673457,0.06414832,0.28857934,0
0.710285224,0.2364337,0.43208367,-0.10541314,0.17397632,0
0.677346182,0.690543861,0,-0.038925998,0,1
0.6621946,0.676304312,0,-0.02128027,0,0
0.678952184,0.6055716,0,-0.018300807,0,0
0.693360648,0.593630156,0.52134544,-0.033150636,0.544082,0
0.683077909,0.535934108,0.46943372,-0.002367438,0.4446626,0
0.673872323,0.564333544,0,0.00435452,0,0
0.715038533,0.670240997,0,0.020463644,0,1
0.573215954,0.67970103,0,-0.036930993,0,
0.690725757,0.670240997,0.5411021,0.020463644,0.684287056,
0.25636566,0.526464233,0.5127434,-0.028509637,0.56273866,
0.571108522,0.630590967,0,-0.01411931,0,
0.660856469,0.641855498,0,-0.017019468,0,
0.688525959,0.508545735,0,-0.018155083,0,
0.655003326,0.619384651,0.452393523,0.003454654,0.53046274,
0.668626861,0.70879966,0.413420326,-0.048873004,0.43758413,
0.56850468,0.65062146,0,-0.023066554,0,
0.6684428,0.46967545,0,0.004032077,0,
0.619442214,0.4936715,0,-0.005204891,0,
0.64320636,0.631892641,0.5293808,-0.022810596,0.5175805,
0.538880312,0.10689309,0.43697527,0.038593795,0.42767605,
0.6025191,0.536574814,0,-0.021519535,0,
0.508494311,-0.012775651,0,-0.017044638,0,
0.588789288,0.559460191,0,0.537922777,0,
0.58555835,0.6049268,0.44510844,0.5378545,0.684287056,
0.67378443,0.330472054,0.413602563,0.27057472,0.56273866,
0.57027838,0.6221518,0,0.55650043,0,
0.55081,0.7415805,0,0.63888204,0,
0.52972573,0.6248224,0,0.580259241,0,
0.548842,0.61360854,0.50777894,0.54493994,0.5175937,
