"","word","ninos","author","proportion"
"236","que es una pelota",0.00462962962962963,"ninas",NA
"237","que hay cosas con muchos pelos, como el perro o gato",0.00462962962962963,"ninas",NA
"238","que la pelota tiene pelos",NA,"ninas",0.00471698113207547
"239","que mi mama tiene pelo en la cabeza",0.00462962962962963,"ninas",NA
"240","que se le sueltan los pelos",NA,"ninas",0.00471698113207547
"241","que se puede peinar",NA,"ninas",0.00471698113207547
"242","que son pelotas cualquiera",0.00462962962962963,"ninas",NA
"243","que tiene mucho pelo",0.00462962962962963,"ninas",NA
"244","que tiene muchos pelos",NA,"ninas",0.00471698113207547
"245","que una pelota tiene pelos",0.00462962962962963,"ninas",NA
"246","rata",0.00462962962962963,"ninas",NA
"247","saltar, gritar, etc.",NA,"ninas",0.00471698113207547
"248","se le cae el pelo o porque tiene mucho pelo",0.00462962962962963,"ninas",NA
"249","seria como una mascota",0.00462962962962963,"ninas",NA
"250","seria una pelota hecha de pelos",0.00462962962962963,"ninas",NA
"251","si",0.00462962962962963,"ninas",NA
"252","significa que su papa es porque son peludos",0.00462962962962963,"ninas",NA
"253","sin respuesta",0.00462962962962963,"ninas",NA
"254","solo el perro",0.00462962962962963,"ninas",NA
"255","su cabello, porque esta cubierto de pelos",NA,"ninas",0.00471698113207547
"256","su cabeza",0.00462962962962963,"ninas",NA
"257","su mascota",NA,"ninas",0.00471698113207547
"258","su mascota porque se esponja",NA,"ninas",0.00471698113207547
"259","su papa es de pelos",0.00462962962962963,"ninas",NA
"260","su papa porque los hombres tienen pelos en las piernas y el pecho",NA,"ninas",0.00471698113207547
"261","su pc porque el nino se divierte",0.00462962962962963,"ninas",NA
"262","su perro",0.00462962962962963,"ninas",NA
"263","su perro, porque tiene pelos",NA,"ninas",0.00471698113207547
"264","sus primos porque son buenos",0.00462962962962963,"ninas",NA
"265","tal vez los arboles (porque algunos son redondos y suaves)",NA,"ninas",0.00471698113207547
"266","tal vez su amigo es muy importante",NA,"ninas",0.00471698113207547
"267","tennis porque es un tipo de pelota que tiene pelitos",NA,"ninas",0.00471698113207547
"268","tia porque tiene mucho cabello",NA,"ninas",0.00471698113207547
"269","tiene muchos pelos",0.00462962962962963,"ninas",0.00471698113207547
"270","tiene muchos pelos o podria ser un animal",0.00462962962962963,"ninas",NA
"271","tiene una pelota de pelos esta bien chida",0.00462962962962963,"ninas",NA
"272","trapeador",NA,"ninas",0.00471698113207547
"273","tu cabeza",NA,"ninas",0.00471698113207547
"274","tu porque eres la unica que falta",0.00462962962962963,"ninas",NA
"275","una bola con pelos",0.00462962962962963,"ninas",NA
"276","una bola de estambre o una cabeza de pelo",0.00462962962962963,"ninas",NA
"277","una bola de estambre porque tiene forma de pelos",0.00462962962962963,"ninas",NA
"278","una bola de pelos",0.00462962962962963,"ninas",NA
"279","una bola de pelos de gato",0.00462962962962963,"ninas",NA
"280","una bola de pelos porque es como una bola de pelos de tu gato o cuando se te cae el cabello y formas una bolita con el",NA,"ninas",0.00471698113207547
"281","una bola de pelusa",NA,"ninas",0.00471698113207547
"282","una bola llena de pelos",0.00462962962962963,"ninas",NA
"283","una bolsa porque hay bolsas que son muy padres o tienen muchos pelitos",NA,"ninas",0.00471698113207547
"284","una cabellera pues porque tiene pelos",NA,"ninas",0.00471698113207547
"285","una cabeza",NA,"ninas",0.00471698113207547
"286","una cabeza con muchos pelos",0.00462962962962963,"ninas",NA
"287","una cabeza o cabello, porque la cabeza es la pelota y los pelos son los cabellos",0.00462962962962963,"ninas",NA
"288","una cabeza porque hay mucho pelos, un juguete que sea de pelos u otra cosa, etc",0.00462962962962963,"ninas",NA
"289","una cabeza porque tiene pelos",NA,"ninas",0.00471698113207547
"290","una cabeza, porque tiene pelos",0.00462962962962963,"ninas",NA
"291","una cabeza tiene muchos pelos",0.00462962962962963,"ninas",NA
"292","una cosa tiene pelo",NA,"ninas",0.00471698113207547
"293","una mascota",NA,"ninas",0.00471698113207547
"294","una mascota porque mi mascota es una bola de pelos bueno esta peluda",0.00462962962962963,"ninas",NA
"295","un amigo porque puede tener mucho pelo",0.00462962962962963,"ninas",NA
"296","un animal con mucho fuego",0.00462962962962963,"ninas",NA
"297","un animal grande redondo pelos",NA,"ninas",0.00471698113207547
"298","un animal, perro, gato, cebra porque tienen pelos*",0.00462962962962963,"ninas",NA
"299","un animal porque los animales tienen pelos",0.00462962962962963,"ninas",NA
"300","un animal porque tiene pelos",NA,"ninas",0.00471698113207547
"301","una pelota con lineas delgadisimas porque asi es el cabello",0.00462962962962963,"ninas",NA
"302","una pelota de gatos",NA,"ninas",0.00471698113207547
